family,design,grid_index,temperature,memory_angle,false_positive,false_negative,equal_grid_prior_weight,uniform_volume_prior_weight,temperature_variance_per_readout,temperature_sd_at_8e6,oracle_temperature_variance_per_readout,relative_c_efficiency,oracle_sd_inflation
internal_basis,center_local,10,0.6,0.5,0.005,0.04,0.012345679012345678,0.007305194805194804,4527.128923980586,0.02378846601816883,4202.41241540903,0.9282731916797189,1.0379157346600933
internal_basis,center_local,11,0.6,0.5,0.005,0.12,0.012345679012345678,0.005312868949232585,5600.7516588417675,0.02645928867817918,4963.623868198365,0.8862424493259606,1.0622426285140736
internal_basis,center_local,12,0.6,0.5,0.02,0.01,0.012345679012345678,0.007305194805194804,6628.814042004997,0.0287854434610729,6466.707141679322,0.9755451127006359,1.0124563795390247
internal_basis,center_local,13,0.6,0.5,0.02,0.04,0.012345679012345678,0.02678571428571428,7277.877232253424,0.030161807870744056,7030.417585594473,0.9659983757953099,1.0174470147990717
internal_basis,center_local,14,0.6,0.5,0.02,0.12,0.012345679012345678,0.019480519480519477,9433.330698189477,0.0343389915005331,8763.355775848431,0.9289779035871569,1.037521984528453
internal_basis,center_local,15,0.6,0.5,0.06,0.01,0.012345679012345678,0.005312868949232584,15492.737065118474,0.04400672827125199,15364.065412734171,0.9916947114093866,1.0041786913132855
internal_basis,center_local,16,0.6,0.5,0.06,0.04,0.012345679012345678,0.019480519480519477,17387.62178765641,0.04662030376839099,17216.371271611555,0.9901510098312336,1.004961172213603
internal_basis,center_local,17,0.6,0.5,0.06,0.12,0.012345679012345678,0.01416765053128689,24026.77566693713,0.054802800643462934,23649.277370701733,0.9842884329770946,1.007949582431211
internal_basis,center_local,18,0.6,0.9,0.005,0.01,0.012345679012345678,0.001138471917692697,222.21962362897426,0.005270431951332052,162.05443168275912,0.729253470221563,1.1710103882197025
internal_basis,center_local,19,0.6,0.9,0.005,0.04,0.012345679012345678,0.004174397031539889,239.2558258291937,0.005468727295143653,174.34512641310653,0.7286975178509244,1.1714570082913747
internal_basis,center_local,20,0.6,0.9,0.005,0.12,0.012345679012345678,0.0030359251138471917,295.1426984972347,0.006073947424217165,214.58905953852732,0.7270688403648173,1.1727683410550434
internal_basis,center_local,21,0.6,0.9,0.02,0.01,0.012345679012345678,0.004174397031539889,522.1788507179698,0.008079130914878545,376.13122998071503,0.7203111145990563,1.1782567649704916
internal_basis,center_local,22,0.6,0.9,0.02,0.04,0.012345679012345678,0.01530612244897959,572.0873896172559,0.008456413170024097,411.5868368730515,0.7194474906157532,1.1789637419385217
internal_basis,center_local,23,0.6,0.9,0.02,0.12,0.012345679012345678,0.011131725417439701,741.5142862426139,0.009627527500886546,531.7938371850481,0.7171727464345198,1.1808319931448619
internal_basis,center_local,24,0.6,0.9,0.06,0.01,0.012345679012345678,0.0030359251138471917,1783.0392305714608,0.01492916286405345,1301.082058101052,0.7296990642679565,1.1706527922145114
internal_basis,center_local,25,0.6,0.9,0.06,0.04,0.012345679012345678,0.011131725417439701,1987.488390436097,0.015761854231165575,1447.6067563490476,0.7283598552399152,1.1717285165269542
internal_basis,center_local,26,0.6,0.9,0.06,0.12,0.012345679012345678,0.00809580030359251,2701.5299405738756,0.018376377297273108,1959.2527788913267,0.725238225001915,1.1742475341014353
internal_basis,center_local,27,0.9,0.2,0.005,0.01,0.012345679012345678,0.00199232585596222,520520.7443798425,0.25507860170441643,407334.0553485708,0.7825510505520308,1.1304299636823925
internal_basis,center_local,28,0.9,0.2,0.005,0.04,0.012345679012345678,0.007305194805194805,572751.5816826985,0.26757045373197935,451837.8485636945,0.788889743850608,1.1258793274730912
internal_basis,center_local,29,0.9,0.2,0.005,0.12,0.012345679012345678,0.005312868949232586,738700.8214977706,0.30387102969388397,598883.9055662894,0.8107259233203612,1.110613555724121
internal_basis,center_local,30,0.9,0.2,0.02,0.01,0.012345679012345678,0.007305194805194805,611429.986381763,0.2764574981759771,487546.7986318469,0.7973877786351057,1.1198638163112855
internal_basis,center_local,31,0.9,0.2,0.02,0.04,0.012345679012345678,0.026785714285714284,678385.3123644106,0.29120124320742746,543781.1771583187,0.8015815897650418,1.1169304552882566
internal_basis,center_local,32,0.9,0.2,0.02,0.12,0.012345679012345678,0.01948051948051948,897231.530552601,0.33489392547353725,732917.1020184418,0.8168650755809276,1.1064322748177167
internal_basis,center_local,33,0.9,0.2,0.06,0.01,0.012345679012345678,0.005312868949232586,890509.6139287428,0.3336370808844437,745565.8238386471,0.8372350081088581,1.0928896427329406
