schedule,x_shots,pure_effective_information_per_block,optimal_schedule_block_fraction,mixed_effective_information_per_block,mixed_minimum_eigenvalue
XXXZXXXX,7,1.4209324115319055e-06,0.025,0.0005261896542811395,0.00043016743969753865
XXXXZZZZ,4,0.0003753963010575123,0.03,0.0005243406356879032,0.00042847606016922606
XXXXZZZX,5,0.00033014492161365094,0.02,0.0005236684319090967,0.0004282035062730949
XXXXZZXZ,5,0.0002455854470151675,0.02,0.0005227944005568586,0.0004275949660051265
XXXXZZXX,6,0.0002460659066586962,0.015,0.0005232301230087,0.0004280173833552201
XXXXZXZZ,5,0.00028813027011956316,0.025,0.0005249157918438274,0.0004292431529081403
XXXXZXZX,6,2.0694423809697327e-05,0.03,0.0005264348608637337,0.00043051793505131226
XXXXZXXZ,6,1.9936214550042575e-06,0.02,0.0005241979047674317,0.00042870362066371216
XXXXZXXX,7,1.3724162542042007e-06,0.025,0.0005263985752642086,0.00043035199582297187
XXXXXZZZ,5,0.00040854931245402903,0.035,0.0005261907551643574,0.0004299605731476267
XXXXXZZX,6,0.00028778318013227,0.02,0.0005251059779255995,0.0004293402051645783
XXXXXZXZ,6,1.983493403703851e-05,0.03,0.0005264698021028025,0.00043054772984055554
XXXXXZXX,7,1.2842134093360436e-06,0.025,0.0005264454212010605,0.00043039319173352055
XXXXXXZZ,6,0.00031709582922294366,0.045,0.0005279837421986455,0.0004316478241923258
XXXXXXZX,7,1.3005816740033205e-06,0.105,0.0005306941578688829,0.00043571565403722226
XXXXXXXZ,7,3.26934476116425e-07,0.105,0.0005306320796886199,0.0004356566628193548
XXXXXXXX,8,2.897106020308956e-07,0.325,0.0005488017694561531,0.0004606550887054873
